"dirn","birn","building","district","county","schtype","piscore","pipercent","pigrade","enrollment","pctdisabled","pctmobile","pctecon","pctlep","pctminority","charter"
138,138,"Pathway School of Discovery","Pathway School of Discovery","Montgomery","Community School Startup",82.389,68.7,"D",751,10.1198402130493,5.1930758988016,69.2410119840213,0,36.4846870838882,"Charter"
139,139,"Alliance Academy of Cincinnati","Alliance Academy of Cincinnati","Hamilton","Community School Startup",76.309,63.6,"D",510,10.5882352941176,100,98.0392156862745,0,98.0392156862745,"Charter"
222,222,"Wildwood Environmental Academy","Wildwood Environmental Academy","Lucas","Community School Startup",80.319,66.9,"D",351,19.6581196581197,5.98290598290598,67.8062678062678,0,35.6125356125356,"Charter"
236,236,"Ohio Connections Academy, Inc","Ohio Connections Academy, Inc","Cuyahoga","Community School Startup",87.464,72.9,"C",3274,11.7287721441662,27.4893097128894,45.3879047037263,0.213805742211362,22.6939523518632,"Charter"
296,296,"Summit Academy Community School-Columbus","Summit Academy Community School-Columbus","Franklin","Community School Startup",58.7,48.9,"F",59,76.271186440678,20.3389830508475,100,0,64.4067796610169,"Charter"
297,297,"Summit Academy Community School - Dayton","Summit Academy Community School - Dayton","Montgomery","Community School Startup",62.679,52.2,"D",151,76.158940397351,14.5695364238411,84.7682119205298,0,51.6556291390728,"Charter"
298,298,"Summit Academy Secondary - Akron","Summit Academy Secondary - Akron","Summit","Community School Startup",54.762,45.6,"F",65,89.2307692307692,12.3076923076923,66.1538461538461,0,46.1538461538462,"Charter"
300,300,"Summit Academy Secondary - Canton","Summit Academy Secondary - Canton","Stark","Community School Startup",70.128,58.4,"D",87,82.7586206896552,29.8850574712644,80.4597701149425,0,16.0919540229885,"Charter"
301,301,"Summit Academy Secondary - Lorain","Summit Academy Secondary - Lorain","Lorain","Community School Startup",62.632,52.2,"D",80,85,7.5,100,0,47.5,"Charter"
302,302,"Summit Academy Community School-Parma","Summit Academy Community School-Parma","Cuyahoga","Community School Startup",64.522,53.8,"D",193,88.6010362694301,4.66321243523316,68.9119170984456,0,28.4974093264249,"Charter"
303,303,"Summit Academy Secondary - Youngstown","Summit Academy Secondary - Youngstown","Mahoning","Community School Startup",51.93,43.3,"F",252,80.1587301587302,29.3650793650794,97.6190476190476,0,55.952380952381,"Charter"
304,304,"Summit Academy Community School-Toledo","Summit Academy Community School-Toledo","Lucas","Community School Startup",55.106,45.9,"F",121,78.5123966942149,11.5702479338843,95.8677685950413,0,58.6776859504132,"Charter"
305,305,"Summit Academy Community School-Warren","Summit Academy Community School-Warren","Trumbull","Community School Startup",53.404,44.5,"F",112,88.3928571428571,9.82142857142857,100,0,30.3571428571429,"Charter"
306,306,"Summit Academy Community School - Cincinnati","Summit Academy Community School - Cincinnati","Hamilton","Community School Startup",55.115,45.9,"F",128,74.21875,7.03125,78.90625,0,64.0625,"Charter"
316,316,"Constellation Schools: Westpark Community Middle","Constellation Schools: Westpark Community Middle","Cuyahoga","Community School Startup",77.195,64.3,"D",195,18.974358974359,4.61538461538462,60,0,36.9230769230769,"Charter"
318,318,"Menlo Park Academy","Menlo Park Academy","Cuyahoga","Community School Startup",100.92,84.1,"B",358,4.18994413407821,5.3072625698324,5.3072625698324,0,20.6703910614525,"Charter"
319,319,"Constellation Schools: Madison Community Elementary","Constellation Schools: Madison Community Elementary","Cuyahoga","Community School Startup",70.39,58.7,"D",323,14.2414860681115,4.95356037151703,94.4272445820433,11.7647058823529,65.015479876161,"Charter"
320,320,"Constellation Schools: Lorain Community Middle","Constellation Schools: Lorain Community Middle","Lorain","Community School Startup",85.818,71.5,"C",125,15.2,7.2,80.8,0,64,"Charter"
321,321,"Constellation Schools: Old Brooklyn Community Middle","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Community School Startup",91.049,75.9,"C",208,7.69230769230769,0.961538461538462,49.5192307692308,0,28.3653846153846,"Charter"
338,338,"Horizon Science Academy Toledo","Horizon Science Academy Toledo","Lucas","Community School Startup",69.069,57.6,"D",586,12.457337883959,7.16723549488055,100,3.92491467576792,83.9590443686007,"Charter"
