"dirn","County","district","Year","Enrollment","AttendanceRate","piscore","GradRate5yr","GradRate4yr","pctDisabled","pctFemale","pctGifted","PctMinority","pct_lep","pct_econ","Pct_in_District_LTFullYear","Pct_in_District_MTFullYear","Pct_in_SameSchool_LTFullYear","Pct_in_SameSchool_MTFullYear","10th Grade Mathematics","10th Grade Reading","10th Grade Science","10th Grade Social Studies","10th Grade Writing","11th Grade Mathematics","11th Grade Reading","11th Grade Science","11th Grade Social Studies","11th Grade Writing","12th Grade Mathematics","12th Grade Reading","12th Grade Science","12th Grade Social Studies","12th Grade Writing","3rd Grade Mathematics","3rd Grade Reading","4th Grade Mathematics","4th Grade Reading","4th Grade Social Studies","4th Grade Writing","5th Grade Mathematics","5th Grade Reading","5th Grade Science","5th Grade Social Studies","6th Grade Mathematics","6th Grade Reading","6th Grade Social Studies","7th Grade Mathematics","7th Grade Reading","7th Grade Writing","8th Grade Mathematics","8th Grade Reading","8th Grade Science","8th Grade Social Studies","Appalachian"
"000120","Lucas","Brigadoon Academy Community School","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
"000125","Lucas","Polly Fox Academy Community School","2015-2016",81,46.6,NA,NA,NA,20.6,NA,NA,33.3333333333333,0,90.1234567901235,65.5,34.5,100,0,0.455,0.6,0.5,0.583,0.7,0.643,0.769,0.643,0.643,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
"000130","Lucas","Phoenix Academy Community School","2015-2016",432,57.6,NA,NA,NA,25,47.9,NA,37.2685185185185,0,47.4537037037037,62.4,37.6,100,0,0.49,0.714,0.451,0.429,0.633,0.732,0.75,0.659,0.683,0.75,0.765,0.843,0.706,0.804,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
"000131","Lucas","Glass City Academy","2015-2016",225,52,NA,NA,NA,18.1,61.4,NA,16,0.444444444444444,80,72.2,27.8,100,0,NA,NA,NA,NA,NA,0.35,0.727,0.25,0.5,0.737,0.622,0.827,0.471,0.671,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
"000138","Montgomery","Pathway School of Discovery","2015-2016",766,94.8,NA,NA,NA,10.8,50.3,NA,61.6187989556136,0,73.8903394255875,15.5,84.5,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633,0.537,0.645,0.377,0.605,NA,0.427,0.439,0.39,NA,0.451,0.537,0.549,0.515,0.515,NA,0.417,0.329,0.526,NA,"Not Appalachian"
"000139","Hamilton","Alliance Academy of Cincinnati","2015-2016",459,92.9,NA,NA,NA,12.9,49.9,NA,4.13943355119826,0,95.2069716775599,22.9,77.1,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236,0.164,0.275,0.2,0.275,NA,0.233,0.093,0.167,NA,0.41,0.231,0.026,0.265,0.265,NA,0.278,0.189,0.694,NA,"Not Appalachian"
"000140",NA,"Victory Academy of Toledo","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
"000143",NA,"George A. Phillips Academy","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
"000162",NA,"Newark Digital Academy","2015-2016",425,93.2,NA,NA,NA,19.4,51.5,NA,92.2352941176471,0,77.6470588235294,54.8,45.2,100,0,NA,NA,NA,NA,NA,0.897,0.941,0.706,0.824,0.882,0.912,0.956,0.824,0.879,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.455,NA,0.167,0.267,0.4,NA,"Not Appalachian"
"000195",NA,"Hope Academy East Campus","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Appalachian"
