"State","Year","Type_code","Type","Gender","Age_group","Total"
"A & N Islands",2012,"Causes","Failure in Examination","Female","0-14",0
"A & N Islands",2012,"Causes","Causes Not known","Female","0-14",0
"A & N Islands",2012,"Causes","Dowry Dispute","Female","0-14",0
"A & N Islands",2012,"Causes","Ideological Causes/Hero Worshipping","Female","0-14",0
"A & N Islands",2012,"Causes","Love Affairs","Female","0-14",0
"A & N Islands",2012,"Causes","Other Causes (Please Specity)","Female","0-14",1
"A & N Islands",2012,"Causes","Unemployment","Female","0-14",0
"A & N Islands",2012,"Causes","Paralysis","Female","0-14",0
"A & N Islands",2012,"Causes","Cancellation/Non-Settlement of Marriage","Female","0-14",0
"A & N Islands",2012,"Causes","Other Prolonged Illness","Female","0-14",0
"A & N Islands",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Female","0-14",0
"A & N Islands",2012,"Causes","Fall in Social Reputation","Female","0-14",0
"A & N Islands",2012,"Causes","Illness (Aids/STD)","Female","0-14",0
"A & N Islands",2012,"Causes","Insanity/Mental Illness","Female","0-14",0
"A & N Islands",2012,"Causes","Professional/Career Problem","Female","0-14",0
"A & N Islands",2012,"Causes","Property Dispute","Female","0-14",0
"A & N Islands",2012,"Causes","Divorce","Female","0-14",0
"A & N Islands",2012,"Causes","Death of Dear Person","Female","0-14",0
"A & N Islands",2012,"Causes","Family Problems","Female","0-14",0
"A & N Islands",2012,"Causes","Drug Abuse/Addiction","Female","0-14",0
"A & N Islands",2012,"Causes","Cancer","Female","0-14",0
"A & N Islands",2012,"Causes","Not having Children(Barrenness/Impotency","Female","0-14",0
"A & N Islands",2012,"Causes","Poverty","Female","0-14",0
"A & N Islands",2012,"Causes","Suspected/Illicit Relation","Female","0-14",0
"A & N Islands",2012,"Causes","Bankruptcy or Sudden change in Economic","Female","0-14",0
"A & N Islands",2012,"Causes","Illegitimate Pregnancy","Female","0-14",0
"A & N Islands",2012,"Causes","Failure in Examination","Male","0-14",0
"A & N Islands",2012,"Causes","Dowry Dispute","Male","0-14",0
"A & N Islands",2012,"Causes","Ideological Causes/Hero Worshipping","Male","0-14",0
"A & N Islands",2012,"Causes","Cancellation/Non-Settlement of Marriage","Male","0-14",0
"A & N Islands",2012,"Causes","Physical Abuse (Rape/Incest Etc.)","Male","0-14",0
"A & N Islands",2012,"Causes","Family Problems","Male","0-14",0
"A & N Islands",2012,"Causes","Illness (Aids/STD)","Male","0-14",0
"A & N Islands",2012,"Causes","Drug Abuse/Addiction","Male","0-14",0
"A & N Islands",2012,"Causes","Insanity/Mental Illness","Male","0-14",0
"A & N Islands",2012,"Causes","Causes Not known","Male","0-14",1
"A & N Islands",2012,"Causes","Professional/Career Problem","Male","0-14",0
"A & N Islands",2012,"Causes","Property Dispute","Male","0-14",0
"A & N Islands",2012,"Causes","Death of Dear Person","Male","0-14",0
"A & N Islands",2012,"Causes","Not having Children(Barrenness/Impotency","Male","0-14",0
"A & N Islands",2012,"Causes","Unemployment","Male","0-14",0
"A & N Islands",2012,"Causes","Divorce","Male","0-14",0
"A & N Islands",2012,"Causes","Fall in Social Reputation","Male","0-14",0
"A & N Islands",2012,"Causes","Cancer","Male","0-14",0
"A & N Islands",2012,"Causes","Bankruptcy or Sudden change in Economic","Male","0-14",0
